"","celltype","genotype","n_unique_feat4","tp"
"1","ESC","ARX",1,"D-1"
"2","ESC","BCOR",1,"D-1"
"3","ESC","HHEXhet",1,"D-1"
"4","ESC","HNF4A",1,"D-1"
"5","ESC","HNF4Ahet",1,"D-1"
"6","ESC","KDM2B",1,"D-1"
"7","ESC","PDX1het",1,"D-1"
"8","ESC","PROSER1",1,"D-1"
"9","ESC","TADA2B",1,"D-1"
"10","ESC","TET1",1,"D-1"
"11","DE","ARX",1,"D3"
"12","DE","BCOR",1,"D3"
"13","DE","HHEXhet",1,"D3"
"14","DE","HNF4A",1,"D3"
"15","DE","HNF4Ahet",1,"D3"
"16","DE","KDM2B",1,"D3"
"17","DE","PROSER1",1,"D3"
"18","DE","TADA2B",1,"D3"
"19","DE","TET1",1,"D3"
"20","DE","TET1/2/3",1,"D3"
"21","ESC","ARX",1,"D3"
"22","ESC","GATA6",1,"D3"
"23","ESC","GATA6het",1,"D3"
"24","ESC","MNX1",1,"D3"
"25","ESC_DE","ARX",1,"D3"
"26","ESC_DE","GATA4",1,"D3"
"27","ESC_DE","GATA4het",1,"D3"
"28","ESC_DE","HHEXhet",1,"D3"
"29","ESC_DE","NEUROD1",1,"D3"
"30","ESC_DE","ONECUT1e",1,"D3"
"31","ESC_DE","OTUD5",1,"D3"
"32","ESC_DE","PAX6",1,"D3"
"33","ESC_DE","PROSER1",1,"D3"
"34","ESC_DE","QSER1",1,"D3"
"35","ESC_DE","QSER1TET1",1,"D3"
"36","ESC_DE","TET1",1,"D3"
"37","ESC_DE","TLE3",1,"D3"
"38","DE","ARX",1,"D7"
"39","DE","MNX1",1,"D7"
"40","DE","NKX2-2",1,"D7"
"41","DE","RFX6",1,"D7"
"42","DE","TADA2B",1,"D7"
"43","Liver","ARX",1,"D7"
"44","Liver","BCOR",1,"D7"
"45","Liver","GATA4het",1,"D7"
"46","Liver","GATA6het",1,"D7"
"47","Liver","GSC",1,"D7"
"48","Liver","HHEX",1,"D7"
"49","Liver","NGN3",1,"D7"
"50","Liver","PROSER1",1,"D7"
"51","Liver","QSER1",1,"D7"
"52","Liver","QSER1TET1",1,"D7"
"53","Liver","TADA2B",1,"D7"
"54","Liver","TET1",1,"D7"
"55","PFG","ARX",1,"D7"
"56","PFG","BCOR",1,"D7"
"57","PFG","GATA6het",1,"D7"
"58","PFG","GSC",1,"D7"
"59","PFG","HNF4A",1,"D7"
"60","PFG","HNF4Ahet",1,"D7"
"61","PFG","NANOGehet",1,"D7"
"62","PFG","PROSER1",1,"D7"
"63","PFG","QSER1",1,"D7"
"64","PFG","QSER1TET1",1,"D7"
"65","PFG","TADA2B",1,"D7"
"66","PFG","TET1",1,"D7"
"67","PFG","TET1/2/3",1,"D7"
"68","Stromal","ARX",1,"D7"
"69","Stromal","FOXA2",1,"D7"
"70","Stromal","GATA4het",1,"D7"
"71","Stromal","GSC",1,"D7"
"72","Stromal","MNX1",1,"D7"
"73","Stromal","NKX2-2",1,"D7"
"74","Endothelial","FOXA2",1,"D11"
"75","EnP","ARX",1,"D11"
"76","EnP","FOXA1",1,"D11"
"77","EnP","MNX1",1,"D11"
"78","EnP","NKX2-2",1,"D11"
"79","Liver","FOXA2",1,"D11"
"80","PFG","NKX2-2",1,"D11"
"81","PFG","PDX1",1,"D11"
"82","PFG","TADA2B",1,"D11"
"83","PP","ARX",1,"D11"
"84","PP","BCOR",1,"D11"
"85","PP","FOXA2",1,"D11"
"86","PP","GLIS3",1,"D11"
"87","PP","HNF4A",1,"D11"
"88","PP","HNF4Ahet",1,"D11"
"89","PP","ONECUT1e",1,"D11"
"90","PP","PROSER1",1,"D11"
"91","PP","QSER1",1,"D11"
"92","PP","TADA2B",1,"D11"
"93","PP","TET1",1,"D11"
"94","PP","TET1/2/3",1,"D11"
"95","Stromal","ARX",1,"D11"
"96","Stromal","FOXA1",1,"D11"
"97","Stromal","GATA6het",1,"D11"
"98","Stromal","GSC",1,"D11"
"99","Stromal","HNF4Ahet",1,"D11"
"100","Stromal","MNX1",1,"D11"
"101","Stromal","NEUROD1",1,"D11"
"102","Stromal","PAX6",1,"D11"
"103","Stromal","TLE3",1,"D11"
"104","Ductal","ARX",1,"D18"
"105","Ductal","BCOR",1,"D18"
"106","Ductal","FOXA2",1,"D18"
"107","Ductal","GATA6",1,"D18"
"108","Ductal","GSC",1,"D18"
"109","Ductal","HHEXe",1,"D18"
"110","Ductal","HNF4A",1,"D18"
"111","Ductal","HNF4Ahet",1,"D18"
"112","Ductal","ONECUT1e",1,"D18"
"113","Ductal","OTUD5",1,"D18"
"114","Ductal","PAX6",1,"D18"
"115","Ductal","PROSER1",1,"D18"
"116","Ductal","TADA2B",1,"D18"
"117","Ductal","TET1",1,"D18"
"118","Ductal","TET1/2/3",1,"D18"
"119","EnP","ARX",1,"D18"
"120","EnP","FOXA1",1,"D18"
"121","EnP","NKX2-2",1,"D18"
"122","EnP","PROSER1",1,"D18"
"123","EnP","RFX6",1,"D18"
"124","EnP","TADA2B",1,"D18"
"125","Liver","FOXA2",1,"D18"
"126","PP","PROSER1",1,"D18"
"127","SC-alpha","BCOR",1,"D18"
"128","SC-alpha","GATA4het",1,"D18"
"129","SC-alpha","HNF4A",1,"D18"
"130","SC-alpha","ONECUT1e",1,"D18"
"131","SC-alpha","OTUD5",1,"D18"
"132","SC-alpha","PROSER1",1,"D18"
"133","SC-alpha","TADA2B",1,"D18"
"134","SC-alpha","TET1",1,"D18"
"135","SC-alpha","TET1/2/3",1,"D18"
"136","SC-beta","ARX",1,"D18"
"137","SC-beta","BCOR",1,"D18"
"138","SC-beta","HNF4A",1,"D18"
"139","SC-beta","HNF4Ahet",1,"D18"
"140","SC-beta","ONECUT1e",1,"D18"
"141","SC-beta","OTUD5",1,"D18"
"142","SC-beta","PROSER1",1,"D18"
"143","SC-beta","TET1",1,"D18"
"144","SC-beta","TET1/2/3",1,"D18"
"145","SC-delta","NKX2-2",1,"D18"
"146","SC-EC","ARX",1,"D18"
"147","SC-EC","BCOR",1,"D18"
"148","SC-EC","ONECUT1e",1,"D18"
"149","SC-EC","OTUD5",1,"D18"
"150","SC-EC","PROSER1",1,"D18"
"151","SC-EC","QSER1",1,"D18"
"152","SC-EC","RFX6",1,"D18"
"153","SC-EC","TADA2B",1,"D18"
"154","SC-EC","TET1",1,"D18"
"155","Stromal","ARX",1,"D18"
"156","Stromal","NKX2-2",1,"D18"
"157","Stromal","PAX6",1,"D18"
"158","Stromal","TLE3",1,"D18"
